epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,8.15301,0.9504,1.86012,2.26328,1.20601,0,0.94978,0.33188,0.50986,0.38725,0.9718,0.35088,0.57391,0.38316,1.06627,2.0495,2.71092,1.31876,0,0.000654971,0.000654971,0.000654971
2,15.2358,1.00124,1.4559,1.76518,1.22067,0,0.68305,0.7193,0.75432,0.57098,0.71618,0.75259,0.80562,0.52236,0.96706,1.5968,2.04706,1.40873,0,0.0012693,0.0012693,0.0012693
3,22.2895,1.0686,1.57361,1.64628,1.25136,0,0.7809,0.49123,0.59375,0.4211,0.83234,0.50877,0.5866,0.33804,1.16548,3.42074,2.0767,1.54806,0,0.00183083,0.00183083,0.00183083
4,29.0315,1.02408,1.57963,1.57847,1.23671,0,0.67413,0.7193,0.69942,0.43748,0.66263,0.68421,0.71278,0.4453,1.06639,2.13235,2.15096,1.77352,0,0.0017624,0.0017624,0.0017624
5,35.7854,0.99945,1.5419,1.38975,1.19824,0,0.78347,0.50877,0.6474,0.45842,0.84776,0.54386,0.72489,0.46859,1.06409,1.64402,1.6015,1.50514,0,0.0016832,0.0016832,0.0016832
6,42.5691,0.92994,1.42417,1.27582,1.16756,0,0.78293,0.63158,0.73266,0.51072,0.87141,0.70175,0.81488,0.49545,1.10487,1.46862,1.51494,1.40954,0,0.001604,0.001604,0.001604
7,49.3231,0.91842,1.38754,1.19391,1.13968,0,0.85056,0.69902,0.83353,0.65198,0.91444,0.75012,0.88888,0.67722,0.83505,1.37393,1.11079,1.23832,0,0.0015248,0.0015248,0.0015248
8,56.1095,0.92582,1.38091,1.18011,1.15714,0,0.96148,0.87588,0.94268,0.67604,0.96148,0.87588,0.94176,0.75656,0.90619,1.07499,1.20229,1.27757,0,0.0014456,0.0014456,0.0014456
9,62.8616,0.87631,1.45814,1.15468,1.14858,0,0.8922,0.87127,0.94226,0.73093,0.8922,0.87127,0.94219,0.72299,0.77714,1.20668,0.91039,1.21476,0,0.0013664,0.0013664,0.0013664
10,69.5966,0.82044,1.3174,1.01303,1.08087,0,0.84679,0.87272,0.92229,0.7441,0.86342,0.88735,0.93703,0.75183,0.72374,1.03412,0.84405,1.15049,0,0.0012872,0.0012872,0.0012872
11,76.3644,0.80386,1.21976,0.97205,1.09894,0,0.84325,0.9438,0.95731,0.78016,0.84325,0.9438,0.95931,0.7815,0.66097,1.04115,0.87303,1.1141,0,0.001208,0.001208,0.001208
